order_id,date,weekday,week,order_type,region,status,delivery_time_min,sla_met
100001,2026-04-18,Mon,W1,Scheduled,East,On Time,18,1
100002,2026-04-18,Mon,W1,Scheduled,North,On Time,20,1
100003,2026-04-18,Mon,W1,Scheduled,North,On Time,26,1
100004,2026-04-18,Mon,W1,Scheduled,North,On Time,18,1
100005,2026-04-18,Mon,W1,Scheduled,Central,On Time,21,1
100006,2026-04-18,Mon,W1,Scheduled,South,On Time,26,1
100007,2026-04-18,Mon,W1,Scheduled,Central,On Time,29,1
100008,2026-04-18,Mon,W1,Scheduled,Central,On Time,25,1
100009,2026-04-18,Mon,W1,Scheduled,South,On Time,18,1
100010,2026-04-18,Mon,W1,Scheduled,East,On Time,23,1
100011,2026-04-18,Mon,W1,Scheduled,East,On Time,30,1
100012,2026-04-18,Mon,W1,Scheduled,North,On Time,24,1
100013,2026-04-18,Mon,W1,Scheduled,Central,On Time,23,1
100014,2026-04-18,Mon,W1,Scheduled,West,On Time,18,1
100015,2026-04-18,Mon,W1,Scheduled,North,On Time,24,1
100016,2026-04-18,Mon,W1,Scheduled,Central,On Time,28,1
100017,2026-04-18,Mon,W1,Scheduled,Central,On Time,23,1
100018,2026-04-18,Mon,W1,Scheduled,North,On Time,19,1
100019,2026-04-18,Mon,W1,Scheduled,East,On Time,30,1
100020,2026-04-18,Mon,W1,Scheduled,North,Cancelled,0,0
100021,2026-04-18,Mon,W1,Scheduled,East,On Time,25,1
100022,2026-04-18,Mon,W1,Scheduled,South,On Time,23,1
100023,2026-04-18,Mon,W1,Scheduled,North,On Time,29,1
100024,2026-04-18,Mon,W1,Scheduled,Central,On Time,20,1
100025,2026-04-18,Mon,W1,Scheduled,West,On Time,20,1
100026,2026-04-18,Mon,W1,Scheduled,Central,On Time,28,1
100027,2026-04-18,Mon,W1,Scheduled,North,On Time,23,1
100028,2026-04-18,Mon,W1,Scheduled,East,On Time,18,1
100029,2026-04-18,Mon,W1,Scheduled,South,On Time,19,1
100030,2026-04-18,Mon,W1,Scheduled,East,On Time,27,1
100031,2026-04-18,Mon,W1,Scheduled,West,On Time,25,1
100032,2026-04-18,Mon,W1,Scheduled,West,On Time,28,1
100033,2026-04-18,Mon,W1,Scheduled,South,On Time,20,1
100034,2026-04-18,Mon,W1,Scheduled,East,On Time,26,1
100035,2026-04-18,Mon,W1,Scheduled,Central,On Time,24,1
100036,2026-04-18,Mon,W1,Scheduled,South,On Time,21,1
100037,2026-04-18,Mon,W1,Scheduled,North,On Time,19,1
100038,2026-04-18,Mon,W1,Scheduled,South,On Time,20,1
100039,2026-04-18,Mon,W1,Scheduled,Central,On Time,24,1
100040,2026-04-18,Mon,W1,Scheduled,Central,On Time,24,1
100041,2026-04-18,Mon,W1,Scheduled,North,Late,48,0
100042,2026-04-18,Mon,W1,Scheduled,Central,On Time,19,1
100043,2026-04-18,Mon,W1,Scheduled,East,On Time,30,1
100044,2026-04-18,Mon,W1,Scheduled,South,On Time,24,1
100045,2026-04-18,Mon,W1,Scheduled,East,On Time,29,1
100046,2026-04-18,Mon,W1,Scheduled,Central,Rescheduled,0,0
100047,2026-04-18,Mon,W1,Scheduled,East,On Time,28,1
100048,2026-04-18,Mon,W1,Scheduled,Central,On Time,26,1
100049,2026-04-18,Mon,W1,Scheduled,South,On Time,23,1
100050,2026-04-18,Mon,W1,Scheduled,Central,On Time,30,1
100051,2026-04-18,Mon,W1,Scheduled,East,On Time,27,1
100052,2026-04-18,Mon,W1,Scheduled,East,On Time,19,1
